Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2256-24_r_1.3_s_50_BSNTN2256-24,BSNTN2256-24,r_1.3_s_50_merge,4717041,31,72,1569,0.0,6.0,0.9598470363288719,0.0,31,27,0,2,2,0,41.87,2.29,6.0,1.0
BSNTN2244-24_r_1.3_s_50_BSNTN2244-24,BSNTN2244-24,r_1.3_s_50_merge,254,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2197-24_r_1_s_50_BSNTN2197-24,BSNTN2197-24,r_1_s_50_merge,8533518,294,874,1569,0.0,75.0,10.114722753346081,8.0,294,243,0,37,14,0,98.66,10.25,75.0,1.0
BSNTN2202-24_r_1.5_s_50_BSNTN2202-24,BSNTN2202-24,r_1.5_s_50_merge,8656018,188,1114,1569,0.0,49.0,8.931166347992352,6.0,188,183,0,3,2,0,74.57,11.98,49.0,1.0
BSNTN2248-24_r_1.5_s_100_BSNTN2248-24,BSNTN2248-24,r_1.5_s_100_merge,219,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2243-24_r_1.3_s_100_BSNTN2243-24,BSNTN2243-24,r_1.3_s_100_merge,4649556,136,21,1533,3.0,16.0,9.536203522504893,10.0,136,132,1,2,1,0,100.0,9.54,16.0,3.0
BSNTN2187-24_r_1_s_100_BSNTN2187-24,BSNTN2187-24,r_1_s_100_merge,186,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2208-24_r_1.3_s_100_BSNTN2208-24,BSNTN2208-24,r_1.3_s_100_merge,8486554,19,10,1569,0.0,4.0,1.0363288718929253,1.0,19,16,0,2,1,0,56.98,1.82,4.0,1.0
BSNTN2251-24_r_1.3_s_50_BSNTN2251-24,BSNTN2251-24,r_1.3_s_50_merge,2976035,223,46,1536,1.0,18.0,7.69140625,7.0,223,206,1,13,3,0,100.0,7.69,18.0,1.0
BSNTN2244-24_r_1.5_s_100_BSNTN2244-24,BSNTN2244-24,r_1.5_s_100_merge,254,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2186-24_r_1.5_s_100_BSNTN2186-24,BSNTN2186-24,r_1.5_s_100_merge,8035260,58,59,1569,0.0,15.0,3.4206500956022943,2.0,58,57,0,1,0,0,65.58,5.22,15.0,1.0
BSNTN2190-24_r_1.3_s_50_BSNTN2190-24,BSNTN2190-24,r_1.3_s_50_merge,8638643,369,644,1569,0.0,54.0,15.533460803059274,13.0,369,356,0,8,5,0,87.76,17.7,54.0,1.0
BSNTN2279-24_r_1_s_100_BSNTN2279-24,BSNTN2279-24,r_1_s_100_merge,370,0,0,1536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2191-24_r_1_s_50_BSNTN2191-24,BSNTN2191-24,r_1_s_50_merge,3953599,684,185,1533,8.0,72.0,30.66340508806262,31.0,684,660,0,16,8,0,100.0,30.66,72.0,8.0
BSNTN2231-24_r_1_s_100_BSNTN2231-24,BSNTN2231-24,r_1_s_100_merge,3321081,33,1,1533,0.0,6.0,1.9217221135029354,2.0,33,30,0,2,1,0,83.17,2.31,6.0,1.0
BSNTN2189-24_r_1.3_s_100_BSNTN2189-24,BSNTN2189-24,r_1.3_s_100_merge,1759073,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2279-24_r_1.3_s_50_BSNTN2279-24,BSNTN2279-24,r_1.3_s_50_merge,370,0,0,1536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2247-24_r_1_s_100_BSNTN2247-24,BSNTN2247-24,r_1_s_100_merge,2241904,12,3,1569,0.0,3.0,0.7284894837476099,0.0,12,12,0,0,0,0,37.09,1.96,3.0,1.0
BSNTN2272-24_r_1.3_s_100_BSNTN2272-24,BSNTN2272-24,r_1.3_s_100_merge,3207548,2,8,1569,0.0,1.0,0.1701720841300191,0.0,2,1,1,0,0,0,17.02,1.0,1.0,1.0
BSNTN2269-24_r_1_s_100_BSNTN2269-24,BSNTN2269-24,r_1_s_100_merge,8678248,48,0,1533,0.0,7.0,2.5538160469667317,2.0,48,44,0,1,3,0,87.28,2.93,7.0,1.0
BSNTN2214-24_r_1.3_s_50_BSNTN2214-24,BSNTN2214-24,r_1.3_s_50_merge,8090158,206,635,1569,0.0,26.0,8.01529636711281,8.0,206,192,0,13,1,0,87.19,9.19,26.0,1.0
BSNTN2268-24_r_1.3_s_50_BSNTN2268-24,BSNTN2268-24,r_1.3_s_50_merge,6861090,249,339,1533,0.0,29.0,9.113502935420744,9.0,249,236,0,10,3,0,95.69,9.52,29.0,1.0
