Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2977-24_r_1.3_s_50_BSNTN2977-24,BSNTN2977-24,r_1.3_s_50_merge,7242337,381,2244,1524,0.0,68.0,27.820866141732285,26.0,381,354,0,23,4,0,99.02,28.1,68.0,1.0
BSNTN2961-24_r_1.5_s_50_BSNTN2961-24,BSNTN2961-24,r_1.5_s_50_merge,9484779,82,4538,1524,0.0,17.0,2.968503937007874,1.0,82,73,0,5,4,0,53.74,5.52,17.0,1.0
BSNTN3008-24_r_1.3_s_100_BSNTN3008-24,BSNTN3008-24,r_1.3_s_100_merge,8084957,493,602,1524,0.0,131.0,42.718503937007874,32.0,493,476,0,8,9,0,82.87,51.55,131.0,1.0
BSNTN2966-24_r_1.5_s_50_BSNTN2966-24,BSNTN2966-24,r_1.5_s_50_merge,3404232,27,490,1524,0.0,6.0,0.9921259842519685,0.0,27,24,0,1,2,0,35.83,2.77,6.0,1.0
BSNTN3034-24_r_1_s_100_BSNTN3034-24,BSNTN3034-24,r_1_s_100_merge,9848312,388,132,1524,0.0,89.0,33.76377952755905,30.0,388,365,0,17,6,0,93.9,35.96,89.0,1.0
BSNTN3035-24_r_1.3_s_100_BSNTN3035-24,BSNTN3035-24,r_1.3_s_100_merge,7927343,506,26,1539,0.0,68.0,43.84990253411306,44.0,506,501,0,1,4,0,99.42,44.11,68.0,22.0
BSNTN3004-24_r_1.5_s_50_BSNTN3004-24,BSNTN3004-24,r_1.5_s_50_merge,7239175,533,2950,1524,0.0,115.0,38.05905511811024,32.0,533,505,0,21,7,0,92.32,41.22,115.0,1.0
BSNTN3010-24_r_1.3_s_100_BSNTN3010-24,BSNTN3010-24,r_1.3_s_100_merge,7883682,427,474,1524,0.0,110.0,35.76377952755905,27.5,427,418,0,0,9,0,84.25,42.45,110.0,1.0
BSNTN2994-24_r_1.5_s_50_BSNTN2994-24,BSNTN2994-24,r_1.5_s_50_merge,7176237,96,2909,1524,0.0,37.0,3.22244094488189,1.0,96,79,0,13,4,0,52.95,6.09,37.0,1.0
BSNTN3026-24_r_1.3_s_50_BSNTN3026-24,BSNTN3026-24,r_1.3_s_50_merge,9136638,231,3917,1524,0.0,36.0,11.746062992125983,11.0,231,147,0,74,10,0,93.5,12.56,36.0,1.0
BSNTN3004-24_r_1_s_50_BSNTN3004-24,BSNTN3004-24,r_1_s_50_merge,7239175,1091,2392,1524,3.0,122.0,69.80314960629921,69.0,1091,926,0,143,22,0,100.0,69.8,122.0,3.0
BSNTN2987-24_r_1.3_s_100_BSNTN2987-24,BSNTN2987-24,r_1.3_s_100_merge,7298788,156,99,1524,0.0,26.0,12.456692913385826,12.0,156,143,0,12,1,0,93.9,13.27,26.0,1.0
